year,source_country,destination_country,dst_distance,dst_students_count,dst_average_wage,dst_rate_of_one_usd,dst_cpi,dst_qoe_top20,dst_qoe_top100,dst_qoe_top200,dst_qoe_top500,src_population,src_qoe_top20,src_qoe_top100,src_qoe_top200,src_qoe_top500,src_gni,src_gdp,src_rate_of_one_usd,src_tertiary_enrolment
2003,China,Canada,9380,14592,38802.0,1.401014548,88.22266743,0,4,8,24,1288400000,0,0,0,12,1280.0,1.66E12,8.277036667,15.24153042
2006,China,Canada,9380,12279,42908.0,1.134344726,93.68918145,0,4,8,22,1311020000,0,0,3,19,2060.0,2.75E12,7.973438333,20.04450035
2002,China,Canada,9380,10176,38800.0,1.570342834,85.85432169,0,4,8,24,1280400000,0,0,0,8,1110.0,1.47E12,8.2769575,12.50685978
2001,China,Canada,9380,6972,39218.0,1.548839955,83.95821408,0,4,8,24,1271850000,0,0,0,5,1010.0,1.34E12,8.277068333,9.767589569
2000,China,Canada,9380,4701,39380.0,1.485394095,81.89038351,0,4,8,25,1262645000,0,0,0,4,940.0,1.21E12,8.278504167,7.620930195
1999,China,Canada,9380,3489,37939.0,1.485704819,79.72238122,0,4,8,25,1252735000,0,0,0,0,860.0,1.09E12,8.27825,6.456950188
1998,China,Canada,9380,2820,37289.0,1.483505302,78.36290784,0,4,8,25,1241935000,0,0,0,0,800.0,1.03E12,8.278958333,5.950950146
2015,China,United Kingdom,7775,91518,44126.0,0.654545479,110.9580174,3,9,21,37,1371220000,0,0,10,44,7910.0,1.1E13,6.227488673,45.35071945
2016,China,United Kingdom,7775,89318,44466.0,0.740634464,112.0769373,3,8,21,37,1378665000,0,2,12,54,8210.0,1.11E13,6.644477829,48.44105148
2014,China,United Kingdom,7775,86204,43782.0,0.607729627,110.5511374,3,8,20,38,1364270000,0,0,9,44,7500.0,1.04E13,6.143434094,41.27772903
2013,China,United Kingdom,7775,81776,44141.0,0.639660578,108.9698539,2,9,19,37,1357380000,0,0,7,42,6770.0,9.57E12,6.195758346,31.45985985
2012,China,United Kingdom,7775,76913,44007.0,0.633046989,106.5285741,2,9,19,38,1350695000,0,0,7,42,5930.0,8.53E12,6.312332827,28.03519058
2011,China,United Kingdom,7775,65906,44376.0,0.624140836,103.8561124,3,10,19,37,1344130000,0,0,3,35,5050.0,7.55E12,6.461461327,25.29210091
2010,China,United Kingdom,7775,55496,45527.0,0.647179346,100.0,2,11,19,38,1337705000,0,0,4,34,4340.0,6.09E12,6.770269029,24.05031013
2005,China,United Kingdom,7775,52677,43597.0,0.549998333,88.11725541,2,11,19,40,1303720000,0,0,2,18,1760.0,2.29E12,8.194316667,18.84936905
2006,China,United Kingdom,7775,50753,44590.0,0.543486667,90.28111707,2,11,22,43,1311020000,0,0,3,19,2060.0,2.75E12,7.973438333,20.04450035
2007,China,United Kingdom,7775,49594,45882.0,0.499771667,92.43573146,2,11,23,42,1317885000,0,0,2,25,2510.0,3.55E12,7.6075325,20.46084023
2004,China,United Kingdom,7775,47738,43663.0,0.54618,86.31403736,2,11,18,42,1296075000,0,0,1,16,1510.0,1.96E12,8.276800833,17.44008064
2009,China,United Kingdom,7775,47033,45455.0,0.641919263,97.56796745,2,11,23,40,1331260000,0,0,1,30,3680.0,5.1E12,6.831416052,22.39872932
2008,China,United Kingdom,7775,45356,44679.0,0.54396625,95.69077122,2,11,22,42,1324655000,0,0,1,30,3100.0,4.59E12,6.948655,20.67279053
2003,China,United Kingdom,7775,30690,42652.0,0.6124725,85.13038654,1,14,20,42,1288400000,0,0,0,12,1280.0,1.66E12,8.277036667,15.24153042
2002,China,United Kingdom,7775,17483,41517.0,0.667223333,83.97447753,1,13,20,42,1280400000,0,0,0,8,1110.0,1.47E12,8.2769575,12.50685978
2001,China,United Kingdom,7775,10388,40840.0,0.694655,82.71684853,1,13,20,43,1271850000,0,0,0,5,1010.0,1.34E12,8.277068333,9.767589569
2000,China,United Kingdom,7775,6158,38908.0,0.660930833,81.4684668,1,13,20,43,1262645000,0,0,0,4,940.0,1.21E12,8.278504167,7.620930195
1999,China,United Kingdom,7775,4250,41818.0,0.618056845,80.51599778,1,13,20,44,1252735000,0,0,0,0,860.0,1.09E12,8.27825,6.456950188
1998,China,United Kingdom,7775,2877,41623.0,0.603823594,79.12890697,2,12,20,44,1241935000,0,0,0,0,800.0,1.03E12,8.278958333,5.950950146
1998,China,New Zealand,11160,78,31643.0,1.868249167,75.12161512,0,0,0,5,1241935000,0,0,0,0,800.0,1.03E12,8.278958333,5.950950146
1999,China,New Zealand,11160,247,32192.0,1.889613899,75.03577581,0,0,0,5,1252735000,0,0,0,0,860.0,1.09E12,8.27825,6.456950188
