year,source_country,destination_country,dst_distance,dst_students_count,dst_average_wage,dst_rate_of_one_usd,dst_cpi,dst_qoe_top20,dst_qoe_top100,dst_qoe_top200,dst_qoe_top500,src_population,src_qoe_top20,src_qoe_top100,src_qoe_top200,src_qoe_top500,src_gni,src_gdp,src_rate_of_one_usd,src_tertiary_enrolment
2006,Indonesia,Canada,12878,336,42908.0,1.134344726,93.68918145,0,4,8,22,229318262,0,0,0,0,1380.0,3.65E11,9159.316667,17.31292915
2016,Indonesia,United Kingdom,11758,3164,44466.0,0.740634464,112.0769373,3,8,21,37,261554226,0,0,0,0,3400.0,9.32E11,13308.3268,30.25484
2015,Indonesia,United Kingdom,11758,2761,44126.0,0.654545479,110.9580174,3,9,21,37,258383256,0,0,0,0,3430.0,8.61E11,13389.41294,29.27643
2014,Indonesia,United Kingdom,11758,2164,43782.0,0.607729627,110.5511374,3,8,20,38,255129004,0,0,0,0,3620.0,8.91E11,11865.2113,29.56034088
2013,Indonesia,United Kingdom,11758,1650,44141.0,0.639660578,108.9698539,2,9,19,37,251806402,0,0,0,0,3730.0,9.13E11,10461.24,29.46726036
2012,Indonesia,United Kingdom,11758,1442,44007.0,0.633046989,106.5285741,2,9,19,38,248452413,0,0,0,0,3580.0,9.18E11,9386.629167,28.69833946
2011,Indonesia,United Kingdom,11758,1267,44376.0,0.624140836,103.8561124,3,10,19,37,245116206,0,0,0,0,3010.0,8.93E11,8770.433333,24.77696991
1999,Indonesia,United Kingdom,11758,1173,41818.0,0.618056845,80.51599778,1,13,20,44,208615169,0,0,0,0,570.0,1.4E11,7855.15,14.74952984
2006,Indonesia,United Kingdom,11758,1154,44590.0,0.543486667,90.28111707,2,11,22,43,229318262,0,0,0,0,1380.0,3.65E11,9159.316667,17.31292915
2005,Indonesia,United Kingdom,11758,1150,43597.0,0.549998333,88.11725541,2,11,19,40,226289470,0,0,0,0,1220.0,2.86E11,9704.741667,17.25584984
2010,Indonesia,United Kingdom,11758,1137,45527.0,0.647179346,100.0,2,11,19,38,241834215,0,0,0,0,2530.0,7.55E11,9090.433333,23.03973961
2004,Indonesia,United Kingdom,11758,1107,43663.0,0.54618,86.31403736,2,11,18,42,223285676,0,0,0,0,1080.0,2.57E11,8938.85,16.6164608
2007,Indonesia,United Kingdom,11758,1092,45882.0,0.499771667,92.43573146,2,11,23,42,232374245,0,0,0,0,1600.0,4.32E11,9141.0,17.76985931
1998,Indonesia,United Kingdom,11758,1090,41623.0,0.603823594,79.12890697,2,12,20,44,205724592,0,0,0,0,660.0,9.5445547873E10,10013.6225,13.3598299
2001,Indonesia,United Kingdom,11758,1054,40840.0,0.694655,82.71684853,1,13,20,43,214427417,0,0,0,0,720.0,1.6E11,10260.85,14.18719959
2009,Indonesia,United Kingdom,11758,1029,45455.0,0.641919263,97.56796745,2,11,23,40,238620563,0,0,0,0,2150.0,5.4E11,10389.9375,22.37511063
2000,Indonesia,United Kingdom,11758,1028,38908.0,0.660930833,81.4684668,1,13,20,43,211513823,0,0,0,0,580.0,1.65E11,8421.775,14.87963009
2008,Indonesia,United Kingdom,11758,924,44679.0,0.54396625,95.69077122,2,11,22,42,235469762,0,0,0,0,1940.0,5.1E11,9698.9625,20.42921066
2003,Indonesia,United Kingdom,11758,899,42652.0,0.6124725,85.13038654,1,14,20,42,220309469,0,0,0,0,900.0,2.35E11,8577.133333,16.02532959
2002,Indonesia,United Kingdom,11758,891,41517.0,0.667223333,83.97447753,1,13,20,42,217357793,0,0,0,0,790.0,1.96E11,9311.191667,14.80883026
2017,Indonesia,New Zealand,7548,705,41954.0,1.407408333,110.6515787,0,0,0,4,264645886,0,0,0,0,3530.0,1.02E12,13380.83388,36.27719116
2016,Indonesia,New Zealand,7548,709,41765.0,1.436525,108.640867,0,0,1,4,261554226,0,0,0,0,3400.0,9.32E11,13308.3268,30.25484
2015,Indonesia,New Zealand,7548,567,40256.0,1.433975,107.9432939,0,0,0,2,258383256,0,0,0,0,3430.0,8.61E11,13389.41294,29.27643
2014,Indonesia,New Zealand,7548,522,39419.0,1.205433333,107.628261,0,0,0,4,255129004,0,0,0,0,3620.0,8.91E11,11865.2113,29.56034088
2013,Indonesia,New Zealand,7548,416,39111.0,1.219407974,106.3231365,0,0,0,5,251806402,0,0,0,0,3730.0,9.13E11,10461.24,29.46726036
