year,source_country,destination_country,dst_distance,dst_students_count,dst_average_wage,dst_rate_of_one_usd,dst_cpi,dst_qoe_top20,dst_qoe_top100,dst_qoe_top200,dst_qoe_top500,src_population,src_qoe_top20,src_qoe_top100,src_qoe_top200,src_qoe_top500,src_gni,src_gdp,src_rate_of_one_usd,src_tertiary_enrolment
2015,China,Australia,7470,97387,53946.0,1.331090262,112.0447451,0,4,8,20,1371220000,0,0,10,44,7910.0,11000000000000.0,6.227488673,45.35071945
2016,China,Australia,7470,112329,53972.0,1.345213976,113.4755463,0,6,8,23,1378665000,0,2,12,54,8210.0,11100000000000.0,6.644477829,48.44105148
2017,China,Australia,7470,128498,53507.0,1.304758077,115.6867846,0,6,10,23,1386395000,0,2,13,57,8630.0,12100000000000.0,6.758755086,51.00674057
2001,China,Australia,7470,11175,45953.0,1.9334425,77.65348595,0,1,5,12,1271850000,0,0,0,5,1010.0,1340000000000.0,8.277068333,9.767589569
2016,China,Canada,9380,60936,47793.0,1.325615164,110.2246709,0,4,6,19,1378665000,0,2,12,54,8210.0,11100000000000.0,6.644477829,48.44105148
2015,China,Canada,9380,54660,48979.0,1.278786204,108.6720092,0,4,6,20,1371220000,0,0,10,44,7910.0,11000000000000.0,6.227488673,45.35071945
2014,China,Canada,9380,50031,48718.0,1.104747132,107.4627934,0,4,7,21,1364270000,0,0,9,44,7500.0,10400000000000.0,6.143434094,41.27772903
2013,China,Canada,9380,42011,48192.0,1.030137364,105.4522038,0,4,7,23,1357380000,0,0,7,42,6770.0,9570000000000.0,6.195758346,31.45985985
2012,China,Canada,9380,34602,47276.0,0.999364744,104.4719519,0,4,7,22,1350695000,0,0,7,42,5930.0,8530000000000.0,6.312332827,28.03519058
2010,China,Canada,9380,26298,45503.0,1.030112735,100.0,0,4,8,23,1337705000,0,0,4,34,4340.0,6090000000000.0,6.770269029,24.05031013
2011,China,Canada,9380,26238,46203.0,0.989258159,102.9121351,0,4,8,22,1344130000,0,0,3,35,5050.0,7550000000000.0,6.461461327,25.29210091
2009,China,Canada,9380,23619,45309.0,1.141535406,98.25414997,0,4,6,22,1331260000,0,0,1,30,3680.0,5100000000000.0,6.831416052,22.39872932
2007,China,Canada,9380,21081,43969.0,1.074045622,95.69261591,0,4,7,22,1317885000,0,0,2,25,2510.0,3550000000000.0,7.6075325,20.46084023
